tag	layer	block	head	tile_a_row	tile_a_col	tile_b_row	tile_b_col	target	pe_row	pe_col	bit	cell
7442	0	2	3	22	6	6	91	7	5	0	0	651
7443	0	2	0	23	13	13	21	1	4	0	6	257
7444	0	2	5	24	10	10	49	5	1	7	0	820
7445	0	3	3	3	5	5	6	5	6	1	0	470
7446	0	7	4	3	37	37	110	6	1	6	0	412
7447	0	6	4	12	31	31	69	0	2	6	5	596
7448	0	2	0	15	2	2	113	1	2	7	1	685
7449	0	9	3	23	8	8	90	0	0	6	2	471
7450	0	4	4	7	6	6	121	1	2	4	2	443
7451	0	8	2	15	33	33	23	5	0	5	0	556
7452	0	6	0	11	41	41	32	0	2	6	7	256
7453	0	9	5	15	0	0	69	4	7	7	6	719
7454	0	8	0	22	23	23	32	5	2	5	0	222
7455	0	7	5	22	36	36	19	6	3	6	0	274
7456	0	11	1	5	7	7	17	0	6	1	0	603
7457	0	11	1	23	4	4	34	6	7	7	0	388
7458	0	3	3	21	22	22	143	7	6	7	0	822
7459	0	10	3	5	26	26	41	5	7	7	0	30
7460	0	10	1	2	16	16	51	4	7	4	15	291
7461	0	11	3	1	29	29	103	1	6	6	4	494
7462	0	6	0	16	45	45	78	6	5	6	0	122
7463	0	6	3	7	5	5	5	5	0	2	0	148
7464	0	11	2	19	19	19	30	1	6	0	0	79
7465	0	8	0	21	16	16	3	5	0	6	0	609
7466	0	10	3	23	23	23	0	1	3	2	6	177
7467	0	11	5	7	30	30	5	4	4	3	9	191
7468	0	8	2	23	26	26	40	5	6	2	0	58
7469	0	5	4	12	44	44	52	5	4	5	0	716
7470	0	10	0	1	9	9	4	5	0	5	0	315
7471	0	4	0	1	47	47	105	5	5	6	0	627
7472	0	0	5	10	43	43	73	7	7	4	0	325
7473	0	7	2	24	41	41	94	0	7	6	4	315
7474	0	2	0	18	24	24	63	6	4	1	0	320
7475	0	3	3	5	17	17	15	4	5	4	20	83
7476	0	0	5	18	4	4	109	0	2	2	2	439
7477	0	9	4	21	21	21	108	5	2	6	0	139
7478	0	8	5	9	14	14	24	5	1	4	0	552
7479	0	10	4	19	45	45	92	7	6	1	0	419
7480	0	1	4	19	9	9	29	7	3	6	0	770
7481	0	2	5	11	30	30	23	1	7	6	7	14
7482	0	1	4	21	16	16	78	5	6	4	0	234
7483	0	0	4	19	3	3	9	6	6	2	0	327
7484	0	4	1	23	44	44	123	0	7	0	3	87
7485	0	1	1	19	5	5	46	7	5	5	0	345
7486	0	2	3	6	40	40	73	0	6	6	2	674
7487	0	6	0	1	27	27	83	5	0	2	0	816
7488	0	1	5	9	4	4	19	7	2	0	0	369
7489	0	5	2	1	9	9	23	4	2	7	28	688
7490	0	4	2	2	41	41	16	0	2	7	6	299
7491	0	9	0	23	27	27	130	0	4	5	2	391
7492	0	11	4	0	21	21	27	7	5	4	0	285
7493	0	1	0	3	12	12	37	6	2	2	0	81
7494	0	3	3	9	16	16	136	5	6	0	0	624
7495	0	9	5	10	23	23	139	4	7	5	11	423
7496	0	6	1	11	31	31	14	4	4	4	12	802
7497	0	8	0	4	39	39	8	7	1	6	0	732
7498	0	11	2	19	26	26	63	6	6	1	0	393
7499	0	3	3	2	20	20	2	0	4	2	1	819
7500	0	8	3	4	0	0	107	6	0	0	0	479
7501	0	5	2	21	20	20	23	4	6	2	12	591
7502	0	6	5	21	18	18	106	4	1	4	21	469
7503	0	5	0	16	23	23	1	6	0	5	0	368
7504	0	6	1	12	1	1	32	5	5	1	0	240
7505	0	7	0	3	23	23	6	6	3	3	0	168
7506	0	10	4	8	26	26	122	5	6	7	0	437
7507	0	9	5	9	5	5	130	0	1	0	7	673
7508	0	2	1	4	36	36	111	5	4	5	0	120
7509	0	4	1	10	40	40	9	1	4	1	7	80
7510	0	10	2	21	3	3	59	7	7	0	0	548
7511	0	4	1	7	41	41	78	6	7	4	0	385
7512	0	5	1	1	27	27	102	6	2	6	0	386
7513	0	10	0	18	41	41	59	4	1	5	8	366
7514	0	0	3	13	17	17	102	4	4	3	14	28
7515	0	6	2	11	18	18	103	6	1	4	0	396
7516	0	6	1	17	11	11	36	4	3	0	3	597
7517	0	1	0	20	9	9	39	4	7	7	7	378
7518	0	3	0	11	45	45	109	5	7	4	0	806
7519	0	11	4	2	6	6	33	0	2	6	3	431
7520	0	7	1	0	36	36	126	0	5	5	1	240
7521	0	8	4	2	1	1	137	5	6	3	0	611
7522	0	10	3	9	6	6	57	0	5	6	7	310
7523	0	9	3	10	15	15	125	0	4	2	2	377
7524	0	6	0	13	13	13	93	0	3	1	2	67
7525	0	2	5	24	39	39	76	4	3	1	19	341
7526	0	11	2	8	3	3	35	5	1	5	0	445
7527	0	9	1	8	11	11	93	4	2	7	4	640
7528	0	4	0	5	40	40	120	4	1	4	24	169
7529	0	3	1	19	42	42	124	6	4	5	0	535
7530	0	6	3	3	10	10	31	7	0	4	0	706
7531	0	3	5	24	1	1	142	6	6	7	0	69
7532	0	1	4	15	9	9	94	7	4	7	0	267
7533	0	10	1	1	3	3	81	4	1	2	8	169
7534	0	2	3	22	26	26	47	1	2	4	4	799
7535	0	3	4	21	40	40	91	0	3	4	7	436
7536	0	11	1	20	17	17	82	1	2	5	3	747
7537	0	2	5	15	30	30	75	1	6	7	1	391
7538	0	1	2	9	35	35	61	4	5	4	25	139
7539	0	8	2	12	2	2	87	1	5	5	5	587
7540	0	0	1	18	6	6	135	6	4	7	0	702
7541	0	5	1	8	17	17	89	6	1	1	0	230
7542	0	1	1	1	34	34	37	7	1	6	0	781
7543	0	1	4	20	28	28	35	4	7	3	6	656
7544	0	3	1	0	9	9	132	7	1	2	0	335
7545	0	0	3	4	41	41	24	0	4	7	1	11
7546	0	4	1	11	16	16	74	0	0	0	6	420
7547	0	3	4	13	21	21	19	4	3	6	9	151
7548	0	4	3	7	15	15	53	5	5	4	0	443
7549	0	5	2	11	44	44	36	0	5	0	7	219
7550	0	2	5	4	23	23	22	5	0	7	0	171
7551	0	3	1	13	38	38	93	1	0	6	6	151
7552	0	0	0	14	8	8	8	5	2	0	0	565
7553	0	8	1	9	2	2	93	6	2	2	0	132
7554	0	9	1	21	19	19	82	6	1	7	0	519
7555	0	4	0	15	32	32	123	1	5	3	6	492
7556	0	10	1	22	25	25	116	0	7	3	7	581
7557	0	3	3	12	30	30	142	0	7	1	4	702
7558	0	2	1	12	47	47	8	0	5	7	2	180
7559	0	11	3	6	40	40	69	6	0	3	0	51
7560	0	5	5	13	9	9	36	6	3	6	0	318
7561	0	7	5	2	17	17	121	5	4	5	0	126
7562	0	11	0	16	34	34	97	6	0	3	0	22
7563	0	11	4	14	38	38	72	4	1	7	22	365
7564	0	1	5	4	21	21	58	6	2	5	0	143
7565	0	8	4	10	1	1	49	0	7	3	7	421
7566	0	7	0	1	42	42	120	6	3	3	0	812
7567	0	10	3	3	41	41	128	1	3	0	3	725
7568	0	11	3	19	8	8	88	6	7	4	0	646
7569	0	9	4	12	1	1	128	7	3	3	0	142
7570	0	11	2	23	35	35	29	5	0	6	0	706
7571	0	8	4	18	18	18	118	0	0	6	5	75
7572	0	2	4	7	5	5	31	4	6	7	12	799
7573	0	11	3	0	28	28	100	6	3	6	0	400
7574	0	11	0	2	3	3	116	6	2	7	0	617
7575	0	5	2	8	39	39	120	5	2	3	0	421
7576	0	9	0	22	9	9	8	4	4	1	23	428
7577	0	10	1	4	15	15	52	6	1	6	0	185
7578	0	2	5	18	3	3	60	5	4	7	0	758
7579	0	11	4	21	37	37	65	0	5	1	3	55
7580	0	9	0	15	19	19	93	1	0	3	5	630
7581	0	10	0	5	40	40	93	5	3	2	0	427
7582	0	7	4	7	46	46	52	0	3	7	1	659
7583	0	6	0	13	16	16	70	7	2	5	0	626
7584	0	2	1	17	42	42	31	7	3	1	0	31
7585	0	10	2	6	3	3	47	7	6	3	0	91
7586	0	3	0	9	1	1	24	4	0	4	3	166
7587	0	8	0	14	26	26	119	5	2	3	0	137
7588	0	10	1	7	17	17	65	1	3	1	7	698
7589	0	1	5	15	33	33	99	1	4	2	7	427
7590	0	0	3	11	41	41	86	5	6	2	0	707
7591	0	0	5	8	7	7	55	4	2	1	18	193
7592	0	4	0	2	1	1	30	0	0	6	4	331
7593	0	10	4	10	32	32	1	0	4	1	2	807
7594	0	1	4	8	16	16	31	5	4	6	0	255
7595	0	11	4	14	0	0	38	1	7	3	2	642
7596	0	6	3	7	10	10	62	7	7	0	0	210
7597	0	0	0	9	9	9	16	5	3	5	0	696
7598	0	2	2	5	7	7	95	4	3	0	30	128
7599	0	8	4	6	0	0	103	0	0	4	1	108
7600	0	1	0	22	11	11	33	5	0	6	0	51
7601	0	4	3	22	8	8	99	5	7	7	0	200
7602	0	3	5	9	36	36	26	5	3	4	0	377
7603	0	5	3	11	28	28	7	6	4	7	0	504
7604	0	4	4	14	6	6	85	5	6	4	0	158
7605	0	6	1	4	45	45	100	6	1	1	0	547
7606	0	9	1	19	39	39	0	6	2	6	0	259
7607	0	2	0	6	3	3	38	5	4	2	0	22
7608	0	3	4	3	22	22	17	5	1	0	0	676
7609	0	3	5	16	39	39	61	7	2	4	0	102
7610	0	9	4	10	42	42	87	6	6	7	0	631
7611	0	7	1	1	12	12	99	6	1	5	0	40
7612	0	9	0	14	15	15	58	0	5	7	3	284
7613	0	7	2	12	39	39	111	7	7	0	0	339
7614	0	10	1	22	44	44	73	1	7	0	5	385
7615	0	0	5	15	29	29	40	0	5	3	6	798
7616	0	9	3	17	33	33	13	6	4	3	0	733
7617	0	1	4	24	15	15	45	0	7	7	6	464
7618	0	4	5	22	5	5	68	7	1	1	0	228
7619	0	11	3	20	0	0	27	1	0	7	3	396
7620	0	2	3	12	11	11	104	7	2	4	0	467
7621	0	4	2	0	36	36	109	5	0	7	0	444
7622	0	2	3	4	14	14	39	4	5	5	21	710
7623	0	10	4	20	28	28	113	5	1	1	0	9
7624	0	5	2	1	22	22	82	7	3	0	0	22
7625	0	9	1	15	46	46	50	7	7	2	0	11
7626	0	5	4	15	41	41	54	1	2	4	2	201
7627	0	3	5	17	19	19	141	1	2	0	1	763
7628	0	7	4	15	4	4	101	1	1	1	6	536
7629	0	10	5	18	15	15	54	6	5	4	0	285
7630	0	8	2	20	21	21	19	1	0	3	4	774
7631	0	0	2	1	23	23	135	5	1	3	0	562
7632	0	11	1	20	29	29	33	1	5	1	5	55
7633	0	4	2	19	26	26	48	1	0	5	3	568
7634	0	3	1	23	39	39	60	1	7	7	3	686
7635	0	5	4	21	14	14	134	0	2	5	1	291
7636	0	5	0	16	34	34	82	6	5	5	0	501
7637	0	7	1	8	25	25	34	1	0	0	6	247
7638	0	8	3	12	18	18	9	4	0	4	8	545
7639	0	1	4	20	2	2	138	6	2	4	0	455
7640	0	9	4	13	13	13	116	5	3	0	0	800
7641	0	3	3	14	2	2	62	0	6	0	4	608
7642	0	9	3	3	37	37	126	6	0	5	0	595
7643	0	8	0	21	28	28	25	0	2	7	1	235
7644	0	7	4	13	10	10	81	4	4	1	0	257
7645	0	3	5	4	8	8	18	0	6	1	6	445
7646	0	11	4	0	30	30	78	0	5	7	2	788
7647	0	11	4	8	5	5	142	4	4	5	13	745
7648	0	0	2	12	36	36	18	7	3	4	0	374
7649	0	2	5	7	18	18	73	6	3	0	0	789
7650	0	5	3	1	30	30	59	4	5	1	14	605
7651	0	7	2	21	1	1	43	5	5	3	0	631
7652	0	8	0	12	8	8	20	5	2	7	0	326
7653	0	11	1	5	8	8	60	5	2	6	0	782
7654	0	6	4	16	27	27	119	0	1	3	3	349
7655	0	0	2	16	6	6	129	0	2	4	5	14
7656	0	5	2	6	20	20	137	1	2	1	1	723
7657	0	9	3	6	41	41	86	5	1	4	0	305
7658	0	9	3	0	3	3	117	6	4	3	0	351
7659	0	0	5	5	10	10	21	0	7	4	6	361
7660	0	0	1	10	2	2	94	1	0	0	6	552
7661	0	2	0	23	25	25	41	1	4	2	0	659
7662	0	0	2	9	10	10	71	5	2	4	0	51
7663	0	4	2	2	12	12	123	1	0	3	2	741
7664	0	11	4	1	1	1	81	7	7	5	0	68
7665	0	4	2	18	14	14	98	6	6	4	0	103
7666	0	2	0	0	8	8	29	7	7	6	0	534
7667	0	10	5	6	40	40	126	0	7	6	2	15
7668	0	9	4	16	47	47	44	5	7	3	0	571
7669	0	0	3	6	11	11	64	6	4	2	0	516
7670	0	0	0	19	0	0	114	4	7	7	22	286
7671	0	1	3	14	22	22	56	7	1	5	0	197
7672	0	9	5	13	27	27	3	7	6	0	0	181
7673	0	10	0	0	1	1	5	6	7	0	0	455
7674	0	4	0	12	21	21	85	4	5	0	12	823
7675	0	4	0	15	10	10	52	0	0	4	2	602
7676	0	2	0	24	26	26	72	5	7	3	0	227
7677	0	3	2	4	10	10	93	5	3	7	0	517
7678	0	8	0	4	40	40	32	1	5	4	7	316
7679	0	7	2	6	45	45	91	4	5	3	14	373
7680	0	3	4	0	27	27	64	0	0	7	4	259
7681	0	2	5	7	8	8	124	6	0	2	0	192
7682	0	0	5	3	9	9	115	7	3	2	0	539
7683	0	10	1	16	34	34	121	0	6	0	0	652
7684	0	0	4	11	8	8	108	0	4	1	0	824
7685	0	10	5	12	37	37	126	5	7	5	0	144
7686	0	10	3	7	35	35	49	7	7	3	0	750
7687	0	5	5	9	9	9	113	6	7	2	0	529
7688	0	11	1	23	42	42	68	7	6	1	0	761
7689	0	0	5	9	11	11	54	6	6	1	0	537
7690	0	4	2	1	36	36	26	5	5	2	0	792
7691	0	0	2	10	40	40	126	0	1	0	2	754
7692	0	6	2	6	14	14	40	6	1	1	0	620
7693	0	8	4	4	31	31	12	1	3	1	3	715
7694	0	0	1	21	27	27	66	6	6	5	0	79
7695	0	9	5	13	33	33	125	1	3	1	0	79
7696	0	4	0	1	5	5	89	4	5	7	16	295
7697	0	1	5	16	31	31	56	6	7	1	0	276
7698	0	9	1	15	18	18	5	5	3	2	0	209
7699	0	3	0	7	30	30	101	1	5	7	6	156
7700	0	6	3	22	3	3	118	1	3	1	5	820
7701	0	6	1	16	21	21	25	6	5	3	0	401
7702	0	4	1	6	37	37	137	5	2	4	0	748
7703	0	2	3	9	37	37	51	4	2	6	14	316
7704	0	4	0	8	19	19	53	0	0	5	4	347
7705	0	1	4	20	33	33	99	0	3	7	7	805
7706	0	10	3	5	35	35	127	4	6	0	31	201
7707	0	0	3	9	21	21	117	0	1	7	0	420
7708	0	4	3	11	20	20	44	5	2	2	0	80
7709	0	0	1	8	26	26	75	1	0	7	6	368
7710	0	5	4	15	36	36	101	5	1	3	0	235
7711	0	7	5	24	18	18	69	5	6	2	0	408
7712	0	10	1	22	44	44	98	5	7	6	0	188
7713	0	6	3	0	16	16	126	5	4	0	0	636
7714	0	1	5	11	1	1	42	4	1	1	22	678
7715	0	2	3	11	27	27	45	6	1	3	0	149
7716	0	4	3	8	43	43	2	7	7	7	0	205
7717	0	0	1	17	15	15	86	7	7	6	0	693
7718	0	1	1	12	12	12	27	4	5	0	12	707
7719	0	4	0	19	28	28	80	0	2	0	1	77
7720	0	7	1	24	37	37	98	5	6	5	0	694
7721	0	6	0	7	29	29	79	5	1	5	0	546
7722	0	8	2	23	18	18	122	1	0	0	1	78
7723	0	4	0	1	22	22	23	1	7	6	6	495
7724	0	8	3	16	24	24	25	6	6	4	0	208
7725	0	3	0	7	33	33	116	1	0	7	4	450
7726	0	7	3	12	1	1	22	0	7	3	5	254
7727	0	4	2	7	36	36	67	0	1	2	7	811
7728	0	0	1	24	23	23	137	6	7	2	0	630
7729	0	5	0	19	43	43	84	1	2	0	7	368
7730	0	11	0	10	19	19	102	5	0	4	0	364
7731	0	2	5	21	35	35	11	0	0	7	0	198
7732	0	8	3	8	6	6	100	1	1	0	1	11
7733	0	3	2	16	12	12	26	4	2	7	1	48
7734	0	8	3	23	20	20	9	6	3	4	0	617
7735	0	9	2	12	8	8	79	0	4	7	4	400
7736	0	9	1	19	1	1	92	5	3	2	0	791
7737	0	6	5	17	12	12	82	5	5	3	0	196
7738	0	9	2	10	24	24	68	0	1	7	6	242
7739	0	8	3	3	34	34	45	5	5	6	0	741
7740	0	3	3	18	24	24	116	7	5	6	0	750
7741	0	5	1	16	20	20	104	5	1	6	0	706
7742	0	8	3	20	40	40	134	5	4	0	0	54
7743	0	4	1	10	7	7	23	6	6	4	0	760
7744	0	8	1	0	10	10	12	4	5	5	30	792
7745	0	5	1	17	33	33	136	1	6	2	7	252
7746	0	0	3	21	34	34	113	5	7	0	0	150
7747	0	7	5	11	0	0	20	7	2	6	0	98
7748	0	5	3	19	45	45	15	6	0	6	0	744
7749	0	7	5	5	15	15	49	5	3	6	0	705
7750	0	11	3	8	46	46	20	6	3	1	0	93
7751	0	2	1	24	10	10	36	5	1	6	0	70
7752	0	9	1	15	18	18	24	6	2	7	0	231
7753	0	6	1	8	1	1	85	6	5	4	0	601
7754	0	2	2	5	15	15	98	5	2	6	0	230
7755	0	10	3	18	1	1	70	1	6	3	3	515
7756	0	8	0	20	39	39	44	1	0	2	3	659
7757	0	9	5	15	3	3	104	0	3	1	4	69
7758	0	1	1	14	42	42	63	5	3	3	0	562
7759	0	10	2	2	35	35	65	4	7	5	5	706
7760	0	10	2	21	21	21	61	6	7	2	0	23
7761	0	2	1	24	24	24	19	1	3	7	0	595
7762	0	6	2	0	15	15	61	4	4	3	0	721
7763	0	9	2	2	21	21	58	1	3	3	2	682
7764	0	2	4	13	23	23	3	0	1	4	3	653
7765	0	10	0	12	19	19	15	1	0	6	7	802
7766	0	6	4	18	37	37	51	4	0	6	1	395
7767	0	10	3	11	25	25	37	0	4	7	2	424
7768	0	6	4	15	11	11	77	0	7	7	2	494
7769	0	6	3	24	21	21	50	6	7	0	0	215
7770	0	8	0	23	19	19	32	0	3	1	6	621
7771	0	9	5	16	8	8	127	6	5	3	0	138
7772	0	6	4	21	40	40	84	5	0	7	0	369
7773	0	5	1	5	25	25	81	5	0	5	0	667
7774	0	0	2	1	12	12	30	0	6	0	5	113
7775	0	0	4	0	1	1	87	0	7	2	6	279
7776	0	7	2	13	9	9	26	5	2	0	0	589
7777	0	5	3	7	46	46	67	0	2	3	7	268
7778	0	10	2	5	16	16	72	1	1	5	7	774
7779	0	8	2	9	27	27	22	6	6	5	0	218
7780	0	2	5	23	7	7	7	1	4	7	4	109
7781	0	11	5	22	31	31	110	1	5	2	2	516
7782	0	3	0	0	43	43	135	1	4	3	0	680
7783	0	10	1	4	22	22	10	0	0	4	2	688
7784	0	8	3	13	36	36	140	0	2	5	3	269
7785	0	9	3	12	31	31	0	6	5	0	0	74
7786	0	2	0	12	4	4	30	7	7	1	0	663
7787	0	8	3	5	25	25	103	6	4	2	0	244
7788	0	6	0	7	33	33	77	4	1	7	20	311
7789	0	10	0	19	46	46	117	0	7	0	4	632
7790	0	10	0	8	41	41	79	7	5	3	0	126
7791	0	1	1	8	21	21	138	1	2	1	1	718
7792	0	1	2	12	30	30	77	6	6	1	0	61
7793	0	6	4	15	8	8	15	5	5	1	0	300
7794	0	0	0	23	3	3	108	4	5	4	18	357
7795	0	7	1	3	46	46	128	1	4	2	1	114
7796	0	10	2	13	27	27	121	1	3	2	5	817
7797	0	8	2	19	20	20	76	7	1	3	0	513
7798	0	4	2	11	37	37	50	1	2	3	1	516
7799	0	11	3	15	7	7	64	5	5	6	0	770
7800	0	7	3	19	40	40	79	7	0	7	0	339
7801	0	10	0	15	42	42	113	4	3	1	20	765
7802	0	10	3	8	26	26	108	5	2	1	0	704
7803	0	4	5	13	0	0	37	6	4	4	0	644
7804	0	5	5	5	31	31	79	4	7	6	31	322
7805	0	9	1	2	6	6	73	6	3	3	0	772
7806	0	1	2	6	39	39	110	0	4	7	1	375
7807	0	10	0	21	47	47	117	5	4	4	0	639
7808	0	4	0	11	44	44	100	0	7	7	4	88
7809	0	4	0	16	18	18	36	5	5	3	0	140
7810	0	6	4	19	14	14	34	5	7	3	0	335
7811	0	4	2	14	11	11	130	5	3	2	0	96
7812	0	9	4	12	39	39	119	4	3	4	22	660
7813	0	0	2	5	10	10	25	6	5	4	0	54
7814	0	7	1	1	45	45	143	6	0	2	0	670
7815	0	3	1	4	1	1	104	7	6	4	0	792
7816	0	2	3	18	28	28	37	6	1	2	0	776
7817	0	11	4	24	26	26	31	0	6	7	2	384
7818	0	4	4	9	2	2	126	7	1	6	0	12
7819	0	2	3	8	13	13	132	0	7	3	1	776
7820	0	7	4	14	29	29	43	7	4	3	0	559
7821	0	2	3	21	35	35	40	4	5	1	17	27
7822	0	5	4	22	24	24	14	7	0	5	0	112
7823	0	9	5	13	19	19	12	4	4	7	21	197
7824	0	10	5	22	17	17	123	7	3	2	0	355
7825	0	2	4	12	34	34	60	1	1	7	1	38
7826	0	9	2	17	11	11	139	0	0	3	3	265
7827	0	10	5	18	44	44	117	4	3	3	24	455
7828	0	8	2	24	34	34	91	6	5	4	0	690
7829	0	3	4	17	26	26	134	0	2	3	1	723
7830	0	7	5	23	6	6	104	7	6	4	0	324
7831	0	5	3	21	33	33	63	1	6	3	2	524
7832	0	10	5	5	11	11	2	5	7	7	0	499
7833	0	9	4	7	2	2	79	1	5	0	7	450
7834	0	8	0	1	40	40	54	5	0	4	0	805
7835	0	11	0	7	24	24	62	1	1	5	4	386
7836	0	9	0	2	8	8	65	7	2	2	0	695
7837	0	1	5	14	12	12	66	7	4	2	0	750
7838	0	8	2	21	20	20	26	0	0	2	0	187
7839	0	10	1	20	13	13	82	7	1	0	0	73
7840	0	1	4	4	19	19	39	0	4	3	5	753
7841	0	9	4	23	38	38	57	0	0	6	5	484
7842	0	1	3	4	30	30	133	0	5	4	5	430
7843	0	4	5	6	11	11	64	4	0	5	14	444
7844	0	1	2	0	25	25	108	6	4	0	0	702
7845	0	10	4	5	6	6	120	1	6	2	2	594
7846	0	6	3	5	14	14	72	7	1	4	0	428
7847	0	7	2	2	42	42	48	1	3	0	7	405
7848	0	10	2	23	42	42	98	5	0	0	0	651
7849	0	10	5	16	46	46	76	5	6	6	0	197
7850	0	1	1	11	36	36	6	5	4	0	0	689
7851	0	10	2	15	24	24	39	0	6	2	2	704
7852	0	3	5	9	29	29	136	0	1	4	3	469
7853	0	8	1	3	3	3	81	7	6	0	0	764
7854	0	0	3	1	1	1	116	4	7	5	9	166
7855	0	6	3	2	29	29	2	5	7	4	0	525
7856	0	3	5	18	12	12	17	5	6	4	0	436
7857	0	9	0	7	13	13	20	6	3	5	0	612
7858	0	2	3	24	46	46	93	5	2	7	0	674
7859	0	4	3	23	32	32	29	7	6	2	0	523
7860	0	9	2	1	10	10	125	0	6	1	6	475
7861	0	1	4	21	30	30	104	4	1	4	26	55
7862	0	9	5	8	42	42	22	1	3	6	3	790
7863	0	10	1	4	9	9	7	7	7	0	0	219
7864	0	0	4	24	19	19	38	7	6	7	0	553
7865	0	1	4	23	27	27	123	4	6	5	13	456
7866	0	11	1	12	29	29	62	6	7	4	0	306
7867	0	5	0	7	34	34	113	7	5	3	0	565
7868	0	1	2	20	12	12	96	0	6	7	1	360
7869	0	8	4	2	5	5	138	7	2	7	0	248
7870	0	8	4	5	47	47	75	7	1	3	0	41
7871	0	5	3	9	12	12	68	4	6	6	15	585
7872	0	2	3	9	1	1	21	6	5	4	0	502
7873	0	9	1	14	23	23	77	5	2	7	0	87
7874	0	5	4	18	9	9	96	5	5	7	0	212
7875	0	3	2	7	30	30	18	6	1	7	0	567
7876	0	8	0	14	7	7	80	0	7	0	3	823
7877	0	5	1	21	28	28	17	1	4	2	1	440
7878	0	11	4	18	17	17	61	7	4	5	0	306
7879	0	4	2	5	40	40	118	1	7	5	3	812
7880	0	10	4	19	40	40	114	7	2	0	0	291
7881	0	7	4	16	9	9	42	1	2	5	6	548
7882	0	6	0	13	42	42	2	5	1	1	0	355
7883	0	1	2	10	33	33	90	0	0	3	5	374
7884	0	0	5	11	35	35	139	7	0	6	0	672
7885	0	10	1	0	22	22	123	5	1	3	0	20
7886	0	0	0	1	34	34	54	6	6	3	0	507
7887	0	11	0	16	8	8	108	6	0	7	0	174
7888	0	10	0	2	36	36	98	1	1	6	5	95
7889	0	7	1	13	34	34	7	4	1	5	12	340
7890	0	3	2	15	42	42	5	6	7	1	0	62
7891	0	10	2	5	0	0	89	4	0	1	28	543
7892	0	9	4	18	0	0	83	1	4	2	3	136
7893	0	10	1	11	22	22	67	1	4	2	3	180
7894	0	0	1	20	5	5	77	1	5	3	3	710
7895	0	2	1	0	13	13	18	1	7	6	0	263
7896	0	4	2	20	43	43	123	7	7	3	0	621
7897	0	0	5	20	46	46	26	0	7	0	7	431
7898	0	3	1	12	30	30	78	4	4	3	15	361
7899	0	7	0	21	29	29	76	1	1	1	0	205
7900	0	6	1	6	47	47	21	1	7	5	0	433
7901	0	11	2	0	20	20	56	1	1	1	6	243
7902	0	5	5	23	42	42	142	4	7	3	26	174
7903	0	10	5	11	15	15	62	4	2	6	0	174
7904	0	9	4	14	15	15	32	5	2	7	0	653
7905	0	9	2	16	29	29	33	1	0	0	7	340
7906	0	3	4	2	4	4	47	6	4	0	0	362
7907	0	6	2	13	29	29	91	7	5	1	0	67
7908	0	2	4	6	2	2	41	6	4	4	0	739
7909	0	11	1	5	6	6	139	4	3	2	5	791
7910	0	0	2	7	14	14	15	7	2	5	0	3
7911	0	0	4	6	1	1	50	7	5	7	0	29
7912	0	0	0	5	1	1	91	1	2	5	5	404
7913	0	0	3	19	13	13	130	5	2	3	0	274
7914	0	3	3	7	33	33	72	4	3	0	22	235
7915	0	6	1	11	39	39	33	5	0	0	0	393
7916	0	2	3	24	14	14	47	4	3	7	24	499
7917	0	3	4	24	16	16	140	0	1	4	2	10
7918	0	4	0	7	31	31	100	6	4	3	0	306
7919	0	7	5	0	6	6	135	6	4	2	0	248
7920	0	8	4	22	12	12	118	0	4	2	4	14
7921	0	5	3	17	44	44	136	6	3	0	0	676
7922	0	0	0	17	21	21	17	1	4	1	6	275
7923	0	5	4	17	44	44	23	4	6	4	30	34
7924	0	0	1	6	8	8	132	5	5	0	0	170
7925	0	2	5	7	42	42	67	0	1	6	0	437
7926	0	6	1	17	4	4	87	7	6	2	0	278
7927	0	5	2	21	18	18	47	5	6	1	0	683
7928	0	5	5	15	42	42	32	1	5	1	7	137
7929	0	7	4	14	17	17	140	4	2	7	2	363
7930	0	1	3	18	38	38	71	5	3	5	0	413
7931	0	4	3	1	26	26	128	4	0	6	31	316
7932	0	2	3	0	38	38	16	7	0	2	0	655
7933	0	1	0	1	1	1	114	0	6	4	0	784
7934	0	8	3	4	12	12	91	7	0	0	0	293
7935	0	10	2	16	19	19	79	5	4	1	0	186
7936	0	6	0	8	45	45	36	6	6	1	0	807
7937	0	11	1	17	11	11	30	5	5	2	0	573
7938	0	3	5	13	27	27	132	1	6	7	5	442
7939	0	4	5	23	29	29	94	6	6	3	0	572
7940	0	5	4	15	41	41	135	4	7	1	5	790
7941	0	11	4	16	39	39	33	4	1	7	1	445
7942	0	4	3	6	13	13	137	5	2	6	0	740
7943	0	3	3	6	10	10	132	0	1	5	3	410
7944	0	0	5	9	3	3	100	1	2	2	0	495
7945	0	9	3	9	40	40	82	7	2	4	0	658
7946	0	11	0	7	9	9	87	6	2	3	0	294
7947	0	1	2	21	43	43	69	1	2	5	4	797
7948	0	3	2	10	47	47	30	4	3	2	22	64
7949	0	9	4	1	33	33	97	7	2	0	0	72
7950	0	9	2	1	12	12	19	4	2	3	18	595
7951	0	2	3	9	9	9	63	4	0	6	0	458
7952	0	9	3	15	41	41	19	4	6	4	9	239
7953	0	0	1	12	39	39	126	7	2	4	0	188
7954	0	7	4	7	18	18	117	7	2	1	0	470
7955	0	5	4	1	2	2	41	4	6	0	1	98
7956	0	0	4	5	30	30	123	1	4	0	2	457
7957	0	1	2	24	2	2	69	1	2	1	1	777
